"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1991-01-01","1991-12-31",1991,6291,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1992-01-01","1992-12-31",1992,2683,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1993-01-01","1993-12-31",1993,11125,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1994-01-01","1994-12-31",1994,7494,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1995-01-01","1995-12-31",1995,7847,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1996-01-01","1996-12-31",1996,16517,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA","GOA",NA,"INDIA, GOA","IND",1490,"IN-GA",NA,"1997-01-01","1997-12-31",1997,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","GUJARAT",NA,"INDIA, GUJARAT","IND",1491,"IN-GJ",NA,"1997-01-01","1997-12-31",1997,5,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","RAJASTHAN",NA,"INDIA, RAJASTHAN","IND",1506,"IN-RJ",NA,"1997-01-01","1997-12-31",1997,18,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","DELHI",NA,"INDIA, DELHI","IND",1489,"IN-DL",NA,"1997-01-01","1997-12-31",1997,273,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","TAMIL NADU",NA,"INDIA, TAMIL NADU","IND",1508,"IN-TN",NA,"1997-01-01","1997-12-31",1997,264,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","PUNJAB",NA,"INDIA, PUNJAB","IND",1505,"IN-PB",NA,"1997-01-01","1997-12-31",1997,23,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","HARYANA",NA,"INDIA, HARYANA","IND",1492,"IN-HR",NA,"1997-01-01","1997-12-31",1997,54,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","KARNATAKA",NA,"INDIA, KARNATAKA","IND",1494,"IN-KA",NA,"1997-01-01","1997-12-31",1997,262,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","CHANDIGARH",NA,"INDIA, CHANDIGARH","IND",70074,"IN-CH",NA,"1997-01-01","1997-12-31",1997,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","UTTAR PRADESH",NA,"INDIA, UTTAR PRADESH","IND",70081,"IN-UP",NA,"1997-01-01","1997-12-31",1997,29,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","ANDHRA PRADESH",NA,"INDIA, ANDHRA PRADESH","IND",1485,"IN-AP",NA,"1997-01-01","1997-12-31",1997,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","KERALA",NA,"INDIA, KERALA","IND",1495,"IN-KL",NA,"1997-01-01","1997-12-31",1997,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","MAHARASHTRA",NA,"INDIA, MAHARASHTRA","IND",1498,"IN-MH",NA,"1997-01-01","1997-12-31",1997,249,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","PONDICHERRY",NA,"INDIA, PONDICHERRY","IND",70080,"IN-PY",NA,"1997-01-01","1997-12-31",1997,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1997-01-01","1997-12-31",1997,1177,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA","KARNATAKA",NA,"INDIA, KARNATAKA","IND",1494,"IN-KA",NA,"1998-01-01","1998-12-31",1998,115,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","HARYANA",NA,"INDIA, HARYANA","IND",1492,"IN-HR",NA,"1998-01-01","1998-12-31",1998,14,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","KERALA",NA,"INDIA, KERALA","IND",1495,"IN-KL",NA,"1998-01-01","1998-12-31",1998,6,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","MAHARASHTRA",NA,"INDIA, MAHARASHTRA","IND",1498,"IN-MH",NA,"1998-01-01","1998-12-31",1998,193,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","UTTAR PRADESH",NA,"INDIA, UTTAR PRADESH","IND",70081,"IN-UP",NA,"1998-01-01","1998-12-31",1998,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","GOA",NA,"INDIA, GOA","IND",1490,"IN-GA",NA,"1998-01-01","1998-12-31",1998,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","GUJARAT",NA,"INDIA, GUJARAT","IND",1491,"IN-GJ",NA,"1998-01-01","1998-12-31",1998,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","TAMIL NADU",NA,"INDIA, TAMIL NADU","IND",1508,"IN-TN",NA,"1998-01-01","1998-12-31",1998,33,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","ANDHRA PRADESH",NA,"INDIA, ANDHRA PRADESH","IND",1485,"IN-AP",NA,"1998-01-01","1998-12-31",1998,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","CHANDIGARH",NA,"INDIA, CHANDIGARH","IND",70074,"IN-CH",NA,"1998-01-01","1998-12-31",1998,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","DELHI",NA,"INDIA, DELHI","IND",1489,"IN-DL",NA,"1998-01-01","1998-12-31",1998,333,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","RAJASTHAN",NA,"INDIA, RAJASTHAN","IND",1506,"IN-RJ",NA,"1998-01-01","1998-12-31",1998,2,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","PONDICHERRY",NA,"INDIA, PONDICHERRY","IND",70080,"IN-PY",NA,"1998-01-01","1998-12-31",1998,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA","PUNJAB",NA,"INDIA, PUNJAB","IND",1505,"IN-PB",NA,"1998-01-01","1998-12-31",1998,0,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
"INDIA",NA,NA,"INDIA","IND",115,"IND",NA,"1998-01-01","1998-12-31",1998,707,"Total","Admin0","Year","WHOSEARO-ALL-19852009-Y01-00"
"INDIA","KARNATAKA",NA,"INDIA, KARNATAKA","IND",1494,"IN-KA",NA,"1999-01-01","1999-12-31",1999,39,"Total","Admin1","Year","LITERATURE-IND-19972012-Y01-00"
