Title,Release Date,Hours Viewed,,,
The Night Agent: Season 1,2023-03-23,"81,21,00,000",,,
Ginny & Georgia: Season 2,2023-01-05,"66,51,00,000",,,
The Glory: Season 1 // 더 글로리: 시즌 1,2022-12-30,"62,28,00,000",,,
Wednesday: Season 1,2022-11-23,"50,77,00,000",,,
Queen Charlotte: A Bridgerton Story,2023-05-04,"50,30,00,000",,,
You: Season 4,2023-02-09,"44,06,00,000",,,
La Reina del Sur: Season 3,2022-12-30,"42,96,00,000",,,
Outer Banks: Season 3,2023-02-23,"40,25,00,000",,,
Ginny & Georgia: Season 1,2021-02-24,"30,21,00,000",,,
FUBAR: Season 1,2023-05-25,"26,62,00,000",,,
Manifest: Season 4,2022-11-04,"26,26,00,000",,,
Kaleidoscope: Limited Series,2023-01-01,"25,25,00,000",,,
Firefly Lane: Season 2,2022-12-02,"25,15,00,000",,,
The Mother,2023-05-12,"24,99,00,000",,,
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,2023-01-24,"23,50,00,000",,,
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,2023-01-14,"23,48,00,000",,,
Love Is Blind: Season 4,2023-03-24,"22,97,00,000",,,
BEEF: Season 1,2023-04-06,"22,11,00,000",,,
The Diplomat: Season 1,2023-04-20,"21,41,00,000",,,
Luther: The Fallen Sun,2023-03-10,"20,97,00,000",,,
Fake Profile: Season 1 // Perfil falso: Temporada 1,2023-05-31,"20,65,00,000",,,
Vikings: Valhalla: Season 2,2023-01-12,"20,55,00,000",,,
Extraction 2,2023-06-16,"20,18,00,000",,,
"XO, Kitty: Season 1",2023-05-18,"20,07,00,000",,,
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,2023-04-15,"19,47,00,000",,,
Shadow and Bone: Season 2,2023-03-16,"19,29,00,000",,,
Outer Banks: Season 1,2020-04-15,"18,40,00,000",,,
Sweet Tooth: Season 2,2023-04-27,"18,23,00,000",,,
You People,2023-01-27,"18,18,00,000",,,
Perfect Match: Season 1,2023-02-14,"17,68,00,000",,,
Sex/Life: Season 2,2023-03-02,"17,55,00,000",,,
The Marked Heart: Season 2 // Pálpito: Temporada 2,2023-04-19,"17,43,00,000",,,
Murder Mystery 2,2023-03-31,"17,36,00,000",,,
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,2023-06-14,"17,24,00,000",,,
"Pablo Escobar, el patrón del mal: Season 1",,"17,01,00,000",,,
Never Have I Ever: Season 4,2023-06-08,"16,83,00,000",,,
Your Place or Mine,2023-02-10,"16,30,00,000",,,
Chiquititas (2013),,"16,20,00,000",,,
Emily in Paris: Season 3,2022-12-21,"16,11,00,000",,,
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,2022-12-22,"15,76,00,000",,,
Alchemy of Souls: Part 1 // 환혼: 파트 1,2022-06-18,"15,53,00,000",,,
